id,original_txt,wrong_ids,correct_txt
1,,,（2）2002年中陕国际所属新民街宿舍楼（固定资产净值196.48万元）。尚未决算计入固定资产的家属楼（在建工程挂账961.57万元）房改，向职工出售，固定资产未做会计账务核减。
2,,,1．负债未清理。
3,,,1. 研究院制定的提成奖励制度未经有关部门批准。
4,,,2. 未经会议集体决策将4260平方米办公用房对外出租，其中2811平方米月租金标准明显偏低，造成国有资产损失。
5,,,"研究院内审自查报告反映，2016年度业务招待费为16,488元。"
6,,,"研究院内审自查报告反映，2016年度业务招待费为16,488元。"
7,,,"1. 研究院负责人违规在核定年薪薪酬之外报销个人通讯费13,703.80元。"
8,,,"1. 股东出资不到位10,300万元。"
9,,,4．“三公经费”和会议费支出超预算138.8万元。
10,,,"（1）经对全省税收征管系统数据筛查发现，2012年度全省市、区级地方税务部门征收营业税2,462,945.85万元，征收与营业税关联城市维护建设税219,143.50万元，是营业税的8.9%，大于规定税率7%的1.9百分点，差额46,795.97万元；全省县级地方税务部门征收营业税933,498.86万元，征收与营业税关联城市维护建设税64,376.47万元，是营业税的6.9%，大于规定最高税率5%的1.9百分点，差额17,736.48万元。"
11,,,"（2）经对全省税收征管系统数据筛查发现，2013年度全省市、区级地方税务部门征收营业税3,173,644.20万元，征收与营业税关联城市维护建设税246,105.14万元，是营业税的7.75%，大于规定税率7%的0.75百分点，差额23,950万元；全省县级以下地方税务部门征收营业税936,787.96万元，征收与营业税关联城市维护建设税60,624.32万元，是营业税的6.47%，大于规定最高税率5%的1.47百分点，差额13,784.92万元。"
12,,,"（3）经对全省税收征管系统数据筛查发现，2014年全省市、区级地方税务部门征收营业税2,378,514.21万元，征收与营业税关联城市维护建设税179,832.36万元，是营业税的7.56%，大于规定税率7%的0.56百分点，差额13,336.37万元。"
13,,,"3. 多征收土地增值税111,227.09万元。"
14,,,1. 税收稽查执法不严，少追缴滞纳金、罚款4677.42万元。
15,,,省信访局对驻京信访处财务监督管理不到位。
16,,,截至2014年末，省国资委3年以上往来账款573.87万元未及时清理，其中已付款未核销西钢离退休医疗费62.4万元、陕西省秦隆国有资产经营有限公司借款450万元，个人借款61.47万元。
17,,,截至2014年末，省国资委3年以上往来账款573.87万元未及时清理，其中已付款未核销西钢离退休医疗费62.4万元、陕西省秦隆国有资产经营有限公司借款450万元，个人借款61.47万元。
18,,,"3. 根据学院场馆处有关资料反映，2005年至2013年，场馆处先后将收取的对外营业收入3,518,100元存入个人银行存折，截至2013年12月底，上缴学院账户2,683,710元，其余用于场馆处支出。"
19,,,"4. 2008年至2013年，西安体院所属运动创伤医院在体育类单独招生考试期间，收取考生床位费104,986.8元，其中70,866.8元未入账，用于发放职工补助以及临时聘用工人劳务支出等。"
